Date_Scraped,Date_Param,Commodity_ID,Commodity_Name,Province_ID,Province_Name,Price,Price_Type
2026-02-12,2022-01-04,2,Daging Ayam,27,Sulawesi Tenggara,38200.0,1
2026-02-12,2022-01-04,2,Daging Ayam,28,Sulawesi Tengah,34050.0,1
2026-02-12,2022-01-04,2,Daging Ayam,29,Sulawesi Utara,36500.0,1
2026-02-12,2022-01-04,2,Daging Ayam,30,Sulawesi Barat,28350.0,1
2026-02-12,2022-01-04,2,Daging Ayam,31,Maluku,42550.0,1
2026-02-12,2022-01-04,2,Daging Ayam,32,Maluku Utara,39000.0,1
2026-02-12,2022-01-04,2,Daging Ayam,33,Papua,39000.0,1
2026-02-12,2022-01-04,2,Daging Ayam,34,Papua Barat,41700.0,1
2026-02-12,2022-01-05,2,Daging Ayam,1,Aceh,33150.0,1
2026-02-12,2022-01-05,2,Daging Ayam,2,Sumatera Utara,38950.0,1
2026-02-12,2022-01-05,2,Daging Ayam,3,Sumatera Barat,49150.0,1
2026-02-12,2022-01-05,2,Daging Ayam,4,Riau,35550.0,1
2026-02-12,2022-01-05,2,Daging Ayam,5,Kepulauan Riau,38850.0,1
2026-02-12,2022-01-05,2,Daging Ayam,6,Jambi,40100.0,1
2026-02-12,2022-01-05,2,Daging Ayam,7,Bengkulu,41750.0,1
2026-02-12,2022-01-05,2,Daging Ayam,8,Sumatera Selatan,38000.0,1
2026-02-12,2022-01-05,2,Daging Ayam,9,Kepulauan Bangka Belitung,43650.0,1
2026-02-12,2022-01-05,2,Daging Ayam,10,Lampung,35150.0,1
2026-02-12,2022-01-05,2,Daging Ayam,11,Banten,38750.0,1
2026-02-12,2022-01-05,2,Daging Ayam,12,Jawa Barat,37550.0,1
2026-02-12,2022-01-05,2,Daging Ayam,13,DKI Jakarta,39850.0,1
2026-02-12,2022-01-05,2,Daging Ayam,14,Jawa Tengah,35050.0,1
2026-02-12,2022-01-05,2,Daging Ayam,15,DI Yogyakarta,38500.0,1
2026-02-12,2022-01-05,2,Daging Ayam,16,Jawa Timur,35800.0,1
2026-02-12,2022-01-05,2,Daging Ayam,17,Bali,39250.0,1
2026-02-12,2022-01-05,2,Daging Ayam,18,Nusa Tenggara Barat,40500.0,1
2026-02-12,2022-01-05,2,Daging Ayam,19,Nusa Tenggara Timur,46700.0,1
2026-02-12,2022-01-05,2,Daging Ayam,20,Kalimantan Barat,39200.0,1
2026-02-12,2022-01-05,2,Daging Ayam,21,Kalimantan Selatan,42750.0,1
2026-02-12,2022-01-05,2,Daging Ayam,22,Kalimantan Tengah,39750.0,1
2026-02-12,2022-01-05,2,Daging Ayam,23,Kalimantan Timur,33400.0,1
2026-02-12,2022-01-05,2,Daging Ayam,24,Kalimantan Utara,42750.0,1
2026-02-12,2022-01-05,2,Daging Ayam,25,Gorontalo,28350.0,1
2026-02-12,2022-01-05,2,Daging Ayam,26,Sulawesi Selatan,28000.0,1
2026-02-12,2022-01-05,2,Daging Ayam,27,Sulawesi Tenggara,38200.0,1
2026-02-12,2022-01-05,2,Daging Ayam,28,Sulawesi Tengah,34050.0,1
2026-02-12,2022-01-05,2,Daging Ayam,29,Sulawesi Utara,36800.0,1
2026-02-12,2022-01-05,2,Daging Ayam,30,Sulawesi Barat,28350.0,1
2026-02-12,2022-01-05,2,Daging Ayam,31,Maluku,42550.0,1
2026-02-12,2022-01-05,2,Daging Ayam,32,Maluku Utara,39000.0,1
2026-02-12,2022-01-05,2,Daging Ayam,33,Papua,39400.0,1
2026-02-12,2022-01-05,2,Daging Ayam,34,Papua Barat,40600.0,1
2026-02-12,2022-01-06,2,Daging Ayam,1,Aceh,33350.0,1
2026-02-12,2022-01-06,2,Daging Ayam,2,Sumatera Utara,39300.0,1
2026-02-12,2022-01-06,2,Daging Ayam,3,Sumatera Barat,49350.0,1
2026-02-12,2022-01-06,2,Daging Ayam,4,Riau,35850.0,1
2026-02-12,2022-01-06,2,Daging Ayam,5,Kepulauan Riau,38850.0,1
2026-02-12,2022-01-06,2,Daging Ayam,6,Jambi,39850.0,1
2026-02-12,2022-01-06,2,Daging Ayam,7,Bengkulu,42650.0,1
2026-02-12,2022-01-06,2,Daging Ayam,8,Sumatera Selatan,39250.0,1
2026-02-12,2022-01-06,2,Daging Ayam,9,Kepulauan Bangka Belitung,43250.0,1
2026-02-12,2022-01-06,2,Daging Ayam,10,Lampung,35150.0,1
2026-02-12,2022-01-06,2,Daging Ayam,11,Banten,39600.0,1
2026-02-12,2022-01-06,2,Daging Ayam,12,Jawa Barat,37450.0,1
2026-02-12,2022-01-06,2,Daging Ayam,13,DKI Jakarta,39750.0,1
2026-02-12,2022-01-06,2,Daging Ayam,14,Jawa Tengah,34800.0,1
2026-02-12,2022-01-06,2,Daging Ayam,15,DI Yogyakarta,37750.0,1
2026-02-12,2022-01-06,2,Daging Ayam,16,Jawa Timur,35550.0,1
2026-02-12,2022-01-06,2,Daging Ayam,17,Bali,39250.0,1
2026-02-12,2022-01-06,2,Daging Ayam,18,Nusa Tenggara Barat,40500.0,1
2026-02-12,2022-01-06,2,Daging Ayam,19,Nusa Tenggara Timur,45600.0,1
2026-02-12,2022-01-06,2,Daging Ayam,20,Kalimantan Barat,39250.0,1
2026-02-12,2022-01-06,2,Daging Ayam,21,Kalimantan Selatan,45850.0,1
